"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 02, 2019","11,910.30","11,890.30","11,917.45","11,814.70","363.20K","0.38%"
"Jul 01, 2019","11,865.60","11,839.90","11,884.65","11,830.80","278.42K","0.65%"
"Jun 28, 2019","11,788.85","11,861.15","11,871.70","11,775.50","303.89K","-0.45%"
"Jun 27, 2019","11,841.55","11,860.85","11,911.15","11,821.05","480.17K","-0.05%"
"Jun 26, 2019","11,847.55","11,768.15","11,871.85","11,757.55","327.89K","0.43%"
"Jun 25, 2019","11,796.45","11,681.00","11,814.40","11,651.00","300.48K","0.83%"
"Jun 24, 2019","11,699.65","11,725.80","11,754.00","11,670.20","277.62K","-0.21%"
"Jun 21, 2019","11,724.10","11,827.60","11,827.95","11,705.10","468.43K","-0.91%"
"Jun 20, 2019","11,831.75","11,653.65","11,843.50","11,635.05","442.02K","1.20%"
"Jun 19, 2019","11,691.45","11,744.45","11,802.50","11,625.10","446.93K","-0.00%"
"Jun 18, 2019","11,691.50","11,677.05","11,727.20","11,641.15","365.53K","0.17%"
"Jun 17, 2019","11,672.15","11,844.00","11,844.05","11,657.75","295.53K","-1.28%"
"Jun 14, 2019","11,823.30","11,910.10","11,911.85","11,797.70","390.30K","-0.76%"
"Jun 13, 2019","11,914.05","11,873.90","11,931.35","11,817.05","447.90K","0.07%"
"Jun 12, 2019","11,906.20","11,962.45","11,962.45","11,866.35","283.72K","-0.50%"
"Jun 11, 2019","11,965.60","11,959.85","12,000.35","11,904.35","332.18K","0.36%"
"Jun 10, 2019","11,922.70","11,934.90","11,975.05","11,871.75","303.33K","0.44%"
"Jun 07, 2019","11,870.65","11,865.20","11,897.50","11,769.50","302.46K","0.23%"
"Jun 06, 2019","11,843.75","12,039.80","12,039.80","11,830.25","415.21K","-1.48%"
"Jun 04, 2019","12,021.65","12,052.65","12,095.20","12,005.85","289.22K","-0.55%"
"Jun 03, 2019","12,088.55","11,953.75","12,103.05","11,920.10","315.30K","1.39%"
"May 31, 2019","11,922.80","11,999.80","12,039.25","11,829.45","438.88K","-0.19%"
"May 30, 2019","11,945.90","11,865.30","11,968.55","11,859.40","421.20K","0.71%"
"May 29, 2019","11,861.10","11,905.80","11,931.90","11,836.80","318.07K","-0.57%"
"May 28, 2019","11,928.75","11,958.35","11,958.55","11,864.90","598.31K","0.03%"
"May 27, 2019","11,924.75","11,855.50","11,957.15","11,812.40","348.36K","0.68%"
"May 24, 2019","11,844.10","11,748.00","11,859.00","11,658.10","374.64K","1.60%"
"May 23, 2019","11,657.05","11,901.30","12,041.15","11,614.50","569.03K","-0.69%"
"May 22, 2019","11,737.90","11,727.95","11,784.80","11,682.40","355.87K","0.25%"
"May 21, 2019","11,709.10","11,863.65","11,883.55","11,682.80","381.04K","-1.01%"
"May 20, 2019","11,828.25","11,651.90","11,845.20","11,591.70","452.10K","3.69%"
"May 17, 2019","11,407.15","11,261.90","11,426.15","11,259.85","412.11K","1.33%"
"May 16, 2019","11,257.10","11,180.35","11,281.55","11,143.35","350.74K","0.90%"
"May 15, 2019","11,157.00","11,271.70","11,286.80","11,136.95","414.17K","-0.58%"
"May 14, 2019","11,222.05","11,151.65","11,294.75","11,108.30","398.12K","0.66%"
"May 13, 2019","11,148.20","11,258.70","11,300.20","11,125.60","357.59K","-1.16%"
"May 10, 2019","11,278.90","11,314.15","11,345.80","11,251.05","387.32K","-0.20%"
"May 09, 2019","11,301.80","11,322.40","11,357.60","11,255.05","373.03K","-0.51%"
"May 08, 2019","11,359.45","11,478.70","11,479.10","11,346.95","372.83K","-1.20%"
"May 07, 2019","11,497.90","11,651.50","11,657.05","11,484.45","337.50K","-0.87%"
"May 06, 2019","11,598.25","11,605.80","11,632.55","11,571.35","299.05K","-0.97%"
"May 03, 2019","11,712.25","11,722.60","11,770.90","11,699.35","305.52K","-0.11%"
"May 02, 2019","11,724.75","11,725.55","11,789.30","11,699.55","380.28K","-0.20%"
"Apr 30, 2019","11,748.15","11,748.75","11,756.25","11,655.90","532.63K","-0.06%"
"Apr 26, 2019","11,754.65","11,683.75","11,762.90","11,661.75","333.48K","0.97%"
"Apr 25, 2019","11,641.80","11,735.70","11,796.75","11,624.30","604.36K","-0.72%"
"Apr 24, 2019","11,726.15","11,601.50","11,740.85","11,578.85","335.20K","1.30%"
"Apr 23, 2019","11,575.95","11,612.95","11,645.95","11,564.80","272.54K","-0.16%"
"Apr 22, 2019","11,594.45","11,727.05","11,727.05","11,583.95","260.36K","-1.35%"
"Apr 18, 2019","11,752.80","11,856.15","11,856.15","11,738.50","339.65K","-0.29%"
"Apr 16, 2019","11,787.15","11,736.20","11,810.95","11,731.55","354.32K","0.83%"
"Apr 15, 2019","11,690.35","11,667.00","11,704.60","11,648.25","290.00K","0.40%"
"Apr 12, 2019","11,643.45","11,612.85","11,657.35","11,578.80","246.01K","0.40%"
"Apr 11, 2019","11,596.70","11,592.55","11,606.70","11,550.55","279.78K","0.11%"
"Apr 10, 2019","11,584.30","11,646.85","11,680.05","11,571.75","359.94K","-0.75%"
"Apr 09, 2019","11,671.95","11,612.05","11,683.90","11,569.70","300.47K","0.58%"
"Apr 08, 2019","11,604.50","11,704.35","11,710.30","11,549.10","260.93K","-0.53%"
"Apr 05, 2019","11,665.95","11,638.40","11,689.65","11,609.50","266.67K","0.59%"
"Apr 04, 2019","11,598.00","11,660.20","11,662.55","11,559.20","349.03K","-0.39%"
"Apr 03, 2019","11,643.95","11,735.30","11,761.00","11,629.15","365.76K","-0.59%"
"Apr 02, 2019","11,713.20","11,711.55","11,729.35","11,655.85","386.13K","0.38%"
"Apr 01, 2019","11,669.15","11,665.20","11,738.10","11,644.75","379.57K","0.39%"
"Mar 29, 2019","11,623.90","11,625.45","11,630.35","11,570.15","416.28K","0.47%"
"Mar 28, 2019","11,570.00","11,463.65","11,588.50","11,452.45","527.68K","1.09%"
"Mar 27, 2019","11,445.05","11,531.45","11,546.20","11,413.00","350.45K","-0.33%"
"Mar 26, 2019","11,483.25","11,375.20","11,496.75","11,352.45","282.58K","1.14%"
"Mar 25, 2019","11,354.25","11,395.65","11,395.65","11,311.60","294.46K","-0.90%"
"Mar 22, 2019","11,456.90","11,549.20","11,572.80","11,434.55","386.19K","-0.56%"
"Mar 20, 2019","11,521.05","11,553.35","11,556.10","11,503.10","366.30K","-0.10%"
"Mar 19, 2019","11,532.40","11,500.30","11,543.85","11,451.25","326.10K","0.61%"
"Mar 18, 2019","11,462.20","11,473.85","11,530.15","11,412.50","320.25K","0.31%"
"Mar 15, 2019","11,426.85","11,376.85","11,487.00","11,370.80","463.71K","0.74%"
"Mar 14, 2019","11,343.25","11,382.50","11,383.45","11,313.75","294.48K","0.01%"
"Mar 13, 2019","11,341.70","11,326.20","11,352.30","11,276.60","383.00K","0.36%"
"Mar 12, 2019","11,301.20","11,231.35","11,320.40","11,227.00","391.31K","1.19%"
"Mar 11, 2019","11,168.05","11,068.75","11,180.90","11,059.85","352.24K","1.20%"
"Mar 08, 2019","11,035.40","11,038.85","11,049.00","11,008.95","326.57K","-0.21%"
"Mar 07, 2019","11,058.20","11,077.95","11,089.05","11,027.10","321.21K","0.05%"
"Mar 06, 2019","11,053.00","11,024.85","11,062.30","10,998.85","372.55K","0.60%"
"Mar 05, 2019","10,987.45","10,864.85","10,994.90","10,817.00","373.22K","1.14%"
"Mar 01, 2019","10,863.50","10,842.65","10,877.90","10,823.10","308.53K","0.66%"
"Feb 28, 2019","10,792.50","10,865.70","10,865.70","10,784.85","644.16K","-0.13%"
"Feb 27, 2019","10,806.65","10,881.20","10,939.70","10,751.20","381.08K","-0.26%"
"Feb 26, 2019","10,835.30","10,775.30","10,888.75","10,729.30","414.95K","-0.41%"
"Feb 25, 2019","10,880.10","10,813.25","10,887.10","10,788.05","385.91K","0.82%"
"Feb 22, 2019","10,791.65","10,782.70","10,801.55","10,758.40","396.85K","0.02%"
"Feb 21, 2019","10,789.85","10,744.10","10,808.85","10,721.50","279.59K","0.51%"
"Feb 20, 2019","10,735.45","10,655.45","10,752.70","10,646.40","289.20K","1.24%"
"Feb 19, 2019","10,604.35","10,636.70","10,722.85","10,585.65","291.51K","-0.34%"
"Feb 18, 2019","10,640.95","10,738.65","10,759.90","10,628.40","345.44K","-0.78%"
"Feb 15, 2019","10,724.40","10,780.25","10,785.75","10,620.40","521.88K","-0.20%"
